type,title_clean,cast_clean,listed_in_clean,description_clean,genres,release_year,duration,country,rating,country_encoded,rating_encoded
1,angry bird,antti pääkkönen heljä heikkinen lynne guaglione pasi ruohonen rauno ahonen,kid tv tv comedy,bird red chuck feathered friend lot adventure guarding egg nest pesky pig keep trying steal,"['kid', 'tv', 'tv', 'comedy']",2018,1 Season,Finland,TV-Y7,156,14
0,birth dragon,billy magnussen ron yuan qu jingjing terry chen vanness wu jin xing philip ng xia yu yu xia,action adventure drama,young bruce lee anger kung fu traditionalist teaching outsider leading showdown shaolin master film based real event,"['action', 'adventure', 'drama']",2017,96 min,"China, Canada, United States",PG-13,106,7
1,chhota bheem,vatsal dubey julie tejwani rupa bhimani jigna bhardwaj rajesh kava mousam swapnil,kid tv,brave energetic little boy superhuman power lead friend exciting adventure guard fellow dholakpur villager evil,"['kid', 'tv']",2021,3 Seasons,India,TV-Y7,251,14
1,heman master universe,yuri lowenthal kimberly brook antony del rio trevor devall ben diskin grey griffin david kaye tom kenny judy alice lee roger craig smith fred tatasciore,kid tv tv scifi fantasy,mighty teen adam heroic squad misfit discover legendary power grayskull — destiny defend eternia sinister skeletor,"['kid', 'tv', 'tv', 'scifi', 'fantasy']",2021,1 Season,United States,TV-Y7,603,14
0,jaw,roy scheider robert shaw richard dreyfus lorraine gary murray hamilton carl gottlieb jeffrey kramer susan backlinie jonathan filley ted grossman,action adventure classic movie drama,insatiable great white shark terrorizes amity island police chief oceanographer grizzled shark hunter seek destroy beast,"['action', 'adventure', 'classic', 'movie', 'drama']",1975,124 min,United States,PG,603,6
0,jaw 2,roy scheider lorraine gary murray hamilton joseph mascolo jeffrey kramer collin wilcox paxton ann dusenberry mark gruner barry coe susan french,drama horror movie thriller,four year last deadly shark attack police chief martin brody fight protect amity island another killer great white,"['drama', 'horror', 'movie', 'thriller']",1978,116 min,United States,PG,603,6
0,jaw 3,dennis quaid be armstrong simon maccorkindale louis gossett jr john putch lea thompson ph moriarty dan blasko liz morris lisa maurer,action adventure horror movie thriller,staff marine theme park try capture young great white shark discover mother invaded enclosure blood,"['action', 'adventure', 'horror', 'movie', 'thriller']",1983,98 min,United States,PG,603,6
0,jaw revenge,lorraine gary lance guest mario van peebles karen young michael caine judith barsi mitchell anderson lynn whitfield,action adventure horror movie thriller,another deadly shark attack ellen brody enough amity island move caribbean – great white shark follows,"['action', 'adventure', 'horror', 'movie', 'thriller']",1987,91 min,United States,PG-13,603,7
0,hero cowboy,unknown,documentary,robin wiltshires painful childhood rescued western life frontier dream training horse love big screen,['documentary'],2021,23 min,Unknown,PG,736,6
0,safe house,denzel washington ryan reynolds vera farmiga brendan gleeson sam shepard rubén blade nora arnezeder robert patrick liam cunningham joel kinnaman,action adventure,young cia operative matt weston must get dangerous criminal agency safe house thats come attack get securer location,"['action', 'adventure']",2012,115 min,"South Africa, United States, Japan",R,433,8
1,smart money woman,osas ighodaro ini dimaokojie kemi lala akindoju toni tone ebenezer eno eso okolocha dike patrick diabuah karibi fubara temisan emmanuel timini egbuson,international tv show romantic tv show tv comedy,five glamorous millennials strive success juggle career finance love friendship based arese ugwus 2016 bestselling novel,"['international', 'tv', 'show', 'romantic', 'tv', 'show', 'tv', 'comedy']",2020,1 Season,Unknown,TV-MA,736,11
0,training day,denzel washington ethan hawke scott glenn tom berenger harris yulin raymond j barry cliff curtis dr dre snoop dogg macy gray eva mendes,drama thriller,rookie cop one day prove veteran lapd narcotic officer receives crash course mentor questionable brand justice,"['drama', 'thriller']",2001,122 min,United States,R,603,8
1,castle castle,richard mofedamijo dakore akande bimbo manuel blossom chukwujekwu deyemi okanlawon etim effiong denola grey duke akintola eku edewor ade laoye anee icha kevin ushi jude chukwuka amanda afolabi,international tv show tv drama,pair highpowered successful lawyer find defending opposite interest justice system causing strain happy marriage,"['international', 'tv', 'show', 'tv', 'drama']",2021,2 Seasons,Nigeria,TV-MA,368,11
1,dharmakshetra,kashmira irani chandan anand dinesh mehta ankit arora pushkar goggiaa anjali rana aarya dharmchand kumar amit behl maleeka ghai,international tv show tv drama tv scifi fantasy,ancient great war god chitragupta oversees trial determine battle true hero villain,"['international', 'tv', 'show', 'tv', 'drama', 'tv', 'scifi', 'fantasy']",2014,1 Season,India,TV-PG,251,12
0,inuyasha movie 2 castle beyond looking glass,kappei yamaguchi satsuki yukino mieko harada koji tsujitani houko kuwashima kumiko watanabe noriko hidaka kenichi ogata toshiyuki morikawa izumi ogami,action adventure anime feature international movie,biggest foe seemingly defeated inuyasha friend return everyday life peace soon shattered emerging new enemy,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2002,99 min,Japan,TV-14,319,9
0,inuyasha movie 3 sword honorable ruler,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe ken narita akio otsuka kikuko inoue,action adventure anime feature international movie,great dog demon beaqueathed one three sword fang two son evil power third sword awakened,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2003,99 min,Japan,TV-14,319,9
0,inuyasha movie 4 fire mystic island,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe noriko hidaka ken narita cho mamiko noto nobutoshi canna,action adventure anime feature international movie,ai young halfdemon escaped horai island try help people return potential savior inuyasha sesshomaru kikyo,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2004,88 min,Japan,TV-PG,319,12
0,inuyasha movie affection touching across time,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe kenichi ogata noriko hidaka hisako kyoda ken narita tomokazu seki,action adventure anime feature international movie,powerful demon sealed away 200 year demon son awakened fate world jeopardy,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2001,100 min,Japan,TV-PG,319,12
1,nailed,nicole byer jacques torres,reality tv,home baker terrible track record take crack recreating edible masterpiece 10000 prize part reality contest part hot mess,"['reality', 'tv']",2021,6 Seasons,United States,TV-PG,603,12
0,naruto shippuden movie blood prison,junko takeuchi chie nakamura rikiya koyama kazuhiko inoue masaki terasoma mie sonozaki yuichi nakamura kengo kawanishi kosei hirota masako katsuki,action adventure anime feature international movie,mistakenly accused attack fourth raikage ninja naruto imprisoned impenetrable hozuki castle power sealed,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2011,102 min,Japan,TV-14,319,9
0,naruto shippûden movie bond,junko takeuchi chie nakamura noriaki sugiyama unsho ishizuka motoko kumai kazuhiko inoue rikiya koyama showtaro morikubo nana mizuki satoshi hino shinji kawada,action adventure anime feature international movie,strange ninja ambush village konohagakure adolescent ninja naruto longmissing pal sasuke save planet,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2008,93 min,Japan,TV-PG,319,12
0,naruto shippûden movie fire,junko takeuchi chie nakamura kazuhiko inoue satoshi hino showtaro morikubo kentaro ito ryoka yuzuki kohsuke toriumi nana mizuki shinji kawada yoichi masukawa koichi tochika yukari tamura,action adventure anime feature international movie,four five ninja village destroyed leader one spared try find true culprit protect land,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2009,96 min,Japan,TV-PG,319,12
0,naruto shippuden movie,junko takeuchi chie nakamura yoichi masukawa koichi tochika ayumi fujimura keisuke oda daisuke kishio fumiko orikasa hidetoshi nakamura tetsuya kakihara kisho taniyama miyuki sawashiro katsuyuki konishi masako katsuki keiko nemoto masashi ebara kazuhiko inoue showtaro morikubo romi park daisuke ono seizo kato,action adventure anime feature international movie,adventure adolescent ninja naruto uzumaki continue he tasked protecting priestess demon – must die,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2007,95 min,Japan,TV-PG,319,12
0,naruto shippuden movie lost tower,junko takeuchi chie nakamura satoshi hino rikiya koyama nobuaki fukuda kenji hamada keiko nemoto saori hayami yumi toma yuko kobayashi fujiko takimoto mutsumi tamura mayuki makiguchi toshiyuki morikawa,action adventure anime feature international movie,naruto sent recover missing nin rogue manages send 20 year past unites father battle evil,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2010,85 min,Japan,TV-14,319,9
0,naruto movie 2 legend stone gelel,junko takeuchi gamon kaai chie nakamura showtaro morikubo akira ishida yasuyuki kase urara takano sachiko kojima houko kuwashima takako honda,action adventure anime feature international movie,mission return missing pet naruto two fellow ninja ambushed brutal knight led enigmatic temujin,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2005,97 min,Japan,TV-PG,319,12
0,naruto movie 3 guardian crescent moon kingdom,junko takeuchi chie nakamura yoichi masukawa kazuhiko inoue akio otsuka kyousuke ikeda marika hayashi umeji sasaki masashi sugawara hisao egawa,action adventure anime feature international movie,exuberant ninja naruto team pal sakura kakashi escort prince michiru son hikaru crescent moon kingdom,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2006,95 min,Japan,TV-PG,319,12
0,naruto movie ninja clash land snow,junko takeuchi noriaki sugiyama chie nakamura kazuhiko inoue yuhko kaida tsutomu isobe hirotaka suzuoki jun karasawa harii kaneko ikuo nishikawa,action adventure anime feature international movie,naruto sasuke sakura learn theyll protecting actress hurt making next film turn shes princess,"['action', 'adventure', 'anime', 'feature', 'international', 'movie']",2004,83 min,Japan,TV-PG,319,12
0,nightbooks,winslow fegley lidya jewett krysten ritter,child family movie,scary story fan alex must tell spinetingling tale every night — stay trapped new friend wicked witch magical apartment forever,"['child', 'family', 'movie']",2021,103 min,Unknown,TV-PG,736,12
1,numberblocks,beth chalmers david holt marcel mccalla teresa gallagher,kid tv,place called numberland math add ton fun group cheerful block work play sing together,"['kid', 'tv']",2021,6 Seasons,United Kingdom,TV-Y,506,13
1,raja rasoi aur anya kahaniyan,unknown,docuseries international tv show,explore history flavor regional indian cuisine traditional kashmiri feast vegetarian dish gujarat,"['docuseries', 'international', 'tv', 'show']",2014,1 Season,India,TV-G,251,10
1,saved bell,markpaul gosselaar tiffani thiessen mario lopez lark voorhies elizabeth berkley dustin diamond dennis haskins,kid tv tv comedy,middle school college best friend zack kelly slater jessie screech lisa take high low life together hit series,"['kid', 'tv', 'tv', 'comedy']",1994,9 Seasons,United States,TV-PG,603,12
0,schumacher,michael schumacher,documentary international movie sport movie,exclusive interview archival footage documentary trace intimate portrait seventime formula 1 champion michael schumacher,"['documentary', 'international', 'movie', 'sport', 'movie']",2021,113 min,Unknown,TV-14,736,9
1,story rabindranath tagore,unknown,international tv show tv drama,writing nobel prize winner rabindranath tagore come life collection tale set early20thcentury bengal,"['international', 'tv', 'show', 'tv', 'drama']",2015,1 Season,India,TV-PG,251,12
1,hot handle latino,itatí cantoral,international tv show reality tv romantic tv show,reality show single latin america spain challenged give sex abstinence come silver lining us100000,"['international', 'tv', 'show', 'reality', 'tv', 'romantic', 'tv', 'show']",2021,1 Season,Unknown,TV-MA,736,11
0,storybots space adventure,evan spiridellis erin fitzgerald jeff gill fred tatasciore evan michael lee jared isaacman sian proctor chris sembroski hayley arceneaux,child family movie,join storybots space traveler historic inspiration4 mission search answer kid question space,"['child', 'family', 'movie']",2021,13 min,Unknown,TV-Y,736,13
1,jack whitehall travel father,jack whitehall michael whitehall,british tv show docuseries international tv show,jovial comic jack whitehall invite stuffy father michael travel southeast asia attempt strengthen bond,"['british', 'tv', 'show', 'docuseries', 'international', 'tv', 'show']",2021,5 Seasons,United Kingdom,TV-MA,506,11
0,king boy,sola sobowale adesua etomi remilekun reminisce safaru tobechukwu illbliss ejiofor toni tone paul sambo jide kosoko sharon ooja,drama international movie,powerful businesswoman ’ political ambition threatened underworld connection ensuing power struggle could cost everything,"['drama', 'international', 'movie']",2018,182 min,Nigeria,TV-MA,368,11
1,world amazing vacation rental,unknown,reality tv,eye every budget three traveler visit vacation rental around globe share expert tip trick reality series,"['reality', 'tv']",2021,2 Seasons,Unknown,TV-PG,736,12
0,v wild cold,bear grylls jason derek prempeh,child family movie,plane crash leaf bear amnesia must make choice save missing pilot survive highstakes interactive adventure,"['child', 'family', 'movie']",2021,106 min,Unknown,TV-G,736,10
1,yowamushi pedal,daiki yamashita kohsuke toriumi jun fukushima hiroki yasumoto showtaro morikubo kentaro ito daisuke kishio yoshitsugu matsuoka junichi suwabe ayaka suwa megumi han tomoaki maeno tsubasa yonaga tetsuya kakihara satoshi hino hiroyuki yoshino atsushi abe koji yusa kouki miyata hiro shimono wataru hatano yuichi nakamura kenji nojima mamoru miyano daisuke ono yuma uchida jun fukuyama,anime series international tv show,timid animeloving teen get drawn school cycling club new friend help face tough challenge develop racing talent,"['anime', 'series', 'international', 'tv', 'show']",2013,1 Season,Japan,TV-14,319,9
0,little singham black shadow,sumriddhi shukla jigna bharadwaj sonal kaushal neshma chemburkar ganesh divekar annamaya verma anamay verma manoj pandey,child family movie comedy,kid cop little singham loses superpower trying stop demon kaal ’ new evil plan inner strength help defeat enemy,"['child', 'family', 'movie', 'comedy']",2021,48 min,Unknown,TV-Y7,736,14
0,tughlaq durbar,vijay sethupathi parthiban raashi khanna,comedy drama international movie,budding politician devious plan rise rank — unexpected new presence begin interfere every crooked move,"['comedy', 'drama', 'international', 'movie']",2020,145 min,Unknown,TV-14,736,9
0,tughlaq durbar telugu,vijay sethupathi parthiban raashi khanna,comedy drama international movie,budding politician devious plan rise rank — unexpected new presence begin interfere every crooked move,"['comedy', 'drama', 'international', 'movie']",2021,145 min,Unknown,TV-14,736,9
0,firedrake silver dragon,thomas brodiesangster felicity jones freddie highmore patrick stewart meera syal sanjeev bhaskar nonso anozie,child family movie,home threatened human young dragon summons courage seek mythical paradise dragon live peace fly free,"['child', 'family', 'movie']",2021,93 min,Unknown,TV-Y7,736,14
0,kate,mary elizabeth winstead jun kunimura woody harrelson tadanobu asano miyavi michiel huisman miku martineau,action adventure,slipped fatal poison final job ruthless assassin working tokyo le 24 hour find ordered hit exact revenge,"['action', 'adventure']",2021,106 min,United States,R,603,8
1,lucifer,tom elli lauren german kevin alejandro db woodside lesleyann brandt scarlett estevez rachael harris aimee garcia tricia helfer tom welling jeremiah w birkett pej vahdat michael gladis,crime tv show tv comedy tv drama,bored lord hell devil relocates los angeles open nightclub form connection homicide detective,"['crime', 'tv', 'show', 'tv', 'comedy', 'tv', 'drama']",2021,6 Seasons,United States,TV-14,603,9
1,metal shop master,jo koy,reality tv,competition show group metal artist torch cut weld epic badass creation hardened steel one win 50000 prize,"['reality', 'tv']",2021,1 Season,Unknown,TV-MA,736,11
0,omo ghetto saga,funke akindele ayo makun chioma chukwuka akpotha yemi eberechi alade blossom chukwujekwu deyemi okanlawon alexx ekubo zubby michael tina mba femi jacob,action adventure comedy drama,twin reunited goodhearted female gangster uptight rich sister take family crime cop trouble follows,"['action', 'adventure', 'comedy', 'drama']",2020,147 min,Nigeria,TV-MA,368,11
1,pokémon master journey series,ikue otani sarah natochenny zeno robinson cherami leigh james carter cathcart michele knotz rodger parson ray chase casey mongillo tara sand,anime series kid tv,ash battle way world coronation series goh continues quest catch every pokémon together theyre journey adventure,"['anime', 'series', 'kid', 'tv']",2021,1 Season,Unknown,TV-Y7,736,14
0,prey,david kross hanno koffler maria ehrich robert finster yung ngo klaus steinbacher livia matthes nellie thalbach,international movie thriller,hiking trip wild turn desperate bid survival five friend run mysterious shooter,"['international', 'movie', 'thriller']",2021,87 min,Unknown,TV-MA,736,11
1,titipo titipo,jeon haeri kim eunah hong bumki nam dohyeong um sanghyun,kid tv korean tv show,titipo train prove he got take help folk train village ride rail safely reliably,"['kid', 'tv', 'korean', 'tv', 'show']",2019,2 Seasons,Unknown,TV-Y,736,13
0,blood brother malcolm x muhammad ali,malcolm x muhammad ali,documentary sport movie,chance meeting tragic fallout malcolm x muhammad ali extraordinary bond crack weight distrust shifting ideal,"['documentary', 'sport', 'movie']",2021,96 min,Unknown,PG-13,736,7
1,mighty raju,julie tejwani sabina malik jigna bhardwaj rupa bhimani lalit agarwal rajesh shukla rajesh kava,kid tv,born superhuman ability young raju want use power make world better place — mean facing plenty challenge,"['kid', 'tv']",2017,4 Seasons,Unknown,TV-Y7,736,14
0,paradise hill,emma robert danielle macdonald awkwafina eiza gonzález milla jovovich jeremy irvine arnaud valois daniel horvath,scifi fantasy thriller,uma wake lush tropical facility designed turn willful girl perfect lady ’ bad enough real purpose even worse,"['scifi', 'fantasy', 'thriller']",2019,95 min,"Spain, United States",TV-MA,469,11
0,woman murderer,unknown,documentary international movie,documentary trace capture serial killer guy george tireless work two woman police chief victim mother,"['documentary', 'international', 'movie']",2021,92 min,France,TV-14,162,9
